aadhaarNumber,bankAccountNumber,bankName,bankType
46753,22003344558899,HDFC,Public bank
76548,22003344558899,ICIC,Private bank
98765,22003344558899,Karnataka,Public bank
37655,22003344558899,Axis,Public bank
24876,22003344558899,Citi,Public bank
92876,22003344558899,HDFC,Private bank
28962,22003344558899,HDFC,Private bank
08107,22003344558899,ICIC,Public bank
98173,22003344558899,Karnataka,Public bank
89654,22003344558899,Axis,Private bank
98698,22003344558899,ICIC,Public bank
19634,22003344558899,HDFC,Private bank
10948,22003344558899,Karnataka,Public bank
18763,22003344558899,Axis,Public bank
94654,22003344558899,Karnataka,Public bank
92874,22003344558899,HDFC,Private bank
09876,22003344558899,Axis,Public bank
14678,22003344558899,Karnataka,Private bank
87236,22003344558899,HDFC,Private bank
27565,22003344558899,ICIC,Public bank
